congress	chamber	committee	committee_short	year	date	hearing_title	hearing_id	witness	affiliation	opensectrets_industry	opensectrets_sector	category	subcategory	state_research	contrarian_organisation	contrarian	denialist
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2004	2004-05-06	The Impacts of Climate Change and States' Actions	108shrg82493	Colburn, Kenneth A., Executive Director, Northeast States for Coordinated Air Use Management (NESCAUM)	Northeast States for Coordinated Air Use Management	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2004	2004-05-06	The Impacts of Climate Change and States' Actions	108shrg82493	Curry, William B., Director, Ocean and Climate Change Institute, Woods Hole Oceanographic Institution	Woods Hole Oceanographic Institution	Non-Profit Institutions	Other	Non-Profit Organisations	Nonpartisan Non-Profits	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2004	2004-05-06	The Impacts of Climate Change and States' Actions	108shrg82493	Epstein M.D., M.P.H., Paul R., Associate Director, Center for Health And the Global Environment, Harvard Medical School	Harvard Medical School	Education	Other	Scientists	Scientists	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2004	2004-05-06	The Impacts of Climate Change and States' Actions	108shrg82493	Fraser, Dr. William R., President, Polar Oceans Research Group	Polar Oceans Research Group	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2004	2004-05-06	The Impacts of Climate Change and States' Actions	108shrg82493	Mote, Ph.D., Philip W., Joint Institute for the Study of the Atmosphere and Ocean, Climate Impacts Group, University of Washington	University of Washington	Education	Other	Scientists	Scientists	0		Other witness	Other witness
108	House	Committee on Energy and Commerce	Energy and Commerce	2003	2003-07-08	The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act	108hhrg88427	Holmstead, Hon. Jeffrey, Assistant Administrator for Air and Radiation, Environmental Protection Agency	Environmental Protection Agency	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Contrarian	Other contrarian
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Claussen, Eileen, President, Pew Center on Global Climate Change	Pew Center on Global Climate Change	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Cogen, Jack, President, Natsource	Natsource	Securities & Investment	Finance, Insurance & Real Estate	Business & Services	Finance, Insurance & Real Estate	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Inslee, Hon. Jay, U.S. Representative from Washington	Representative From Washington	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Krupp, Fred, President, Environmental Defense Fund	Environmental Defense Fund	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Lieberman, Hon. Joseph I., U.S. Senator from Connecticut	Senator	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Mahoney, Hon. James R. Ph.D., Assistant Secretary of Commerce for Oceans and Atmosphere, Department of Commerce, and Director, U.S. Climate Change Science Program	Department of Commerce	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-01-08	Climate Change	108shrg95341	Overbey, Randy, President, Alcoa Power Generating, Inc	Alcoa Power Generating	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Colburn, Ken, Executive Director, Northeast States for Coordinated Air Use Management (NESCAUM)	Northeast States for Coordinated Air Use Management	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Hawkins, David G., Climate Center Program Director, Natural Resources Defense Council	Natural Resources Defense Council	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	McCullough, Glenn, Jr., Chairman, Tennessee Valley Authority	Tennessee Valley Authority	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Melewski, Bernard, Adirondack Council	Adirondack Council	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Rogers, James, CEO and President, Cinergy Corporation, on behalf of the Edison Electric Institute	Edison Electric Institute	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0	Edison Electric Institute	Contrarian	Other contrarian
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Trisko, Eugene, United Mine Workers of America	United Mine Workers	Industrial Unions	Labour	Non-Profit Organisations	Labour	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Whitman, Hon. Christine Todd, Administrator, U.S. Environmental Protection Agency	Environmental Protection Agency	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Bluestein, Joel, president, Energy and Environmental Analysis, Inc	Energy and Environmental Analysis	Business Services	Misc Business	Business & Services	Misc Business	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Krimmel, James, president, Zaclon Chemical	Zaclon Chemical	Chemical & Related Manufacturing	Misc Business	Carbon-intensive Industry	Manufacturing	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	McSlarrow, Hon. Kyle E., Deputy Secretary, U.S. Department of Energy	Department of Energy	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Metz, Richard, co-executive officer, Unimark, L.L.C	Unimark	Oil & Gas	Energy & Natural Resources	Fossil Fuel Industry	Fossil Fuel Extraction	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Thumb, Steve, principal, Energy Ventures Incorporated	Energy Ventures	Alternate energy production & services	Energy & Natural Resources	Alternative Energy	Alternative Energy	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Benson, Steven A., senior research manager, Energy and Environmental Center, University of North Dakota	University of North Dakota	Education	Other	Scientists	Scientists	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Brownstein, Mark S., director, Enterprise Strategy, PSEG Service Corporation	Pseg Service Corporation	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Bucher, Richard, W.L. Gore and Associates, Inc	Gore and Associates	Alternate energy production & services	Energy & Natural Resources	Alternative Energy	Alternative Energy	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Cogan, Douglas G., deputy director of social issues, Investor Responsibility Research Center	Investor Responsibility Research Center	Securities & Investment	Finance, Insurance & Real Estate	Business & Services	Finance, Insurance & Real Estate	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Krozner, Randall S., member, Council of Economic Advisers	Council of Economic Advisers	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	McGinnis, Jim, managing director, Morgan Stanley	Morgan Stanley	Misc Manufacturing & Distributing	Misc Business	Carbon-intensive Industry	Manufacturing	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Monroe, Larry S., program manager, Office of Pollution Control Research, Southern Company	Southern Company	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Nappier, Hon. Denise, Treasurer, State of Connecticut	State of Connecticut	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Taylor, Wes, president of production, TXU Energy North America	Txu Energy	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
108	Senate	Committee on Environment and Public Works	Environment and Public Works	2003	2003-04-08	The Clear Skies Act of 2003	108shrg91748	Thorning, Margo, senior vice president and chief economist, American Council for Capital Formation	American Council for Capital Formation	Business Associations	Misc Business	Business & Services	Misc Business	0	American Council for Capital Formation	Contrarian	Other contrarian
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Catherine O'Neill, associate professor, Seattle University School of Law, representing the Center for Progressive Regulation	Seattle University	Education	Other	Scientists	Scientists	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	James L. Gattuso, research fellow in regulatory policy, the Heritage Foundation	Heritage Foundation	Republican/Conservative	Ideological/Single-Issue	Non-Profit Organisations	Partisan Non-Profits	0	Heritage Foundation	Contrarian	Other contrarian
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Howard M. Radzely, Solicitor, Department of Labor	Department of Labor	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Todd O. McCracken, president, National Small Business Association	National Small Business Association	Business Associations	Misc Business	Business & Services	Misc Business	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Thomas M. Sullivan, Chief Counsel for Advocacy, Small Business Administration	Small Business Administration	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Kovacs, William, vice president, Environment, Technology and Regulatory Affairs, U.S. Chamber of Commerce	U.S. Chamber of Commerce	Business Associations	Misc Business	Business & Services	Misc Business	0	US Chamber of Commerce	Contrarian	Other contrarian
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Nancy McKeague, senior vice president, Michigan Health and Hospital Association, representing the Society of Human Resource Management	Society of Human Resource Management	Non-Profit Institutions	Other	Non-Profit Organisations	Nonpartisan Non-Profits	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	John A. Paul, supervisor, Regional Air Pollution Control Agency, Dayton, OH, representing the State and Territorial Air Pollution Program Administrators	Pollution Control Agency	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Stephen L. Johnson, Deputy Administrator, Environmental Protection Agency	Environmental Protection Agency	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	House	Committee on Government Reform	Government Reform	2004	2004-11-17	What Is the Bush Administration's Record in Regulatory Reform?	108hhrg98899	Graham, Dr. John D., Administrator, Office of Information and Regulatory Affairs, Office of Management and Budget	Administrator, Office of Information	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Busalacchi, Jr., Ph.D., Antonio J., Chairman, Climate Research Committee, National Academy of Sciences, and Director, Earth System Science Interdisciplinary Center (ESSIC), University of Maryland	University of Maryland	Education	Other	Scientists	Scientists	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Delbeke, Jos, Director, Environment DG, European Commission, Brussels	European Commission	International/Intergovernmental	Other	Other	International/Intergovernmental	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Gorman, Paul, Executive Director, National Religious Partnership for the Environment	National Religious Partnership for the Environment	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Podell, Ethan J., President, Orbis Energy Advisors Inc	Orbis Energy Advisors	Business Services	Misc Business	Business & Services	Misc Business	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Schneider, Stephen H., Professor, Department of Biological Sciences; Co-Director, Center for Environmental Science and Policy, Stanford University	Stanford University	Education	Other	Scientists	Scientists	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Stephenson, John B., Director, Natural Resources and Environment, United States General Accounting Office	General Accounting Office	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Walker, Christopher T., Managing Director, Greenhouse Gas Risk Solutions on behalf of Swiss Re	Swiss Re	Insurance	Finance, Insurance & Real Estate	Business & Services	Finance, Insurance & Real Estate	0		Other witness	Other witness
108	Senate	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation	2003	2003-10-01	The Case for Climate Change Action	108shrg94255	Wigley, Tom M.L., Senior Scientist, National Center for Atmospheric Research	National Center for Atmospheric Research	Civil Servants/Public Officials	Other	Scientists	Government Scientists	1		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Thorning, Margo, Senior Vice President and Chief Economist, American Council for Capital Formation	American Council for Capital Formation	Business Associations	Misc Business	Business & Services	Misc Business	0	American Council for Capital Formation	Contrarian	Other contrarian
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Hobson, Chris, Senior Vice President, Research and Environmental Affairs, Southern Company	Southern Company	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Grumet, Jason, Executive Director, National Commission on Energy Policy	Commission on Energy	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
